Id,ProjectIdentifier,ProjectName,ApplicationDate,AmountGrantRequested,AmountGrantApproved,DateGrantApproved,AmountGrantPaid,DateGrantPaid,ProjectDescription,StatusCode_Id,StatusDescription,ProjOfficerRecommendation,TargetCompletionDate,Region_Id,District_Id,Keywords,Summary,ProjOfficer_Id,Problems,StatusCodeDate,StrengthsWeaknesses,FinanceOtherFunders,LocalContribution,WebSitePicture,WebSitePictureDescription,Latitude,Longitude,DocumentsUrl,PublicDocumentsUrl,ImpactOfProject,LastUpdated,TotalProjectCost,LastUpdatedBy
13,321,"Ikondo Secondary School","2013-10-12 00:00:00",4540,4540,"2014-09-17 00:00:00",4540,"2014-10-08 00:00:00","Application for books, sports equipment and science equipment",13,"Added to waiting list Oct 13. JDM: Originally thought to be Ikondo Muslim School which BTS member Yusuf Kashangwa applied for some years ago, but this is a quite different state community secondary school.
JP: Weak possibility - Again another school like Burungura (ID332).
DC: Reject on basis of too many secondary schools in Kagera already being funded.
JDM:This Headteacher has tried very hard and answered lots of questions.  I recommend this one..  Report from JC 14th September on safari says it is very impressive and reccommends adding to consideration list if possible","JDM:This Headteacher has tried very hard and answered lots of questions.  I recommend this one..  Report from JC 14th September on safari says it is very impressive and reccommends adding to consideration list if possible.  Julian to expand please at meeting.",NULL,4,7,"Secondary School, Textbooks, Sports Equipment, Science Equipment","Ikondo is a remote rural school with no electricity or running water.  It has very few books and the laboratory is built to foundations only. The dynamic headteacher has given his house on site to girls who have otherwise to walk for 3 hours each way to school.  Grant was approved for lab equipment and textbooks and this has had a positive impact on the number of girls passing the Form 4 exams.  Investigate possibility of adding to e-learning programme at a future date.",10," ",2014-09-17,"Excellent headteacher (studied with Robert Kassaju)",NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21196,NULL,NULL,"2019-11-24 13:43:10",NULL,NULL
14,222,"Lubalisi Health Centre- Solar Power","2013-10-16 00:00:00",4180,4180,"2015-01-21 00:00:00",NULL,NULL,"Solar Power for remote Health Centre. (This is the current application- the applicants have been trying very hard for a long time).",13,"02 with Kevin Curley.  At 27 May 2014 I have still not heard from Evelyn who has been unwell.  I am waiting replies to my questions from Asheri. In November 2014 Kevin Curley visited the Lubalisi village clinic with Asheri.  It was a hard 8 hours round trip through the mountains by motorbike from Asheri's home in Nkonkwa.  We met the village EO (Charles Tajinya), the chair of the health clinic committee (Shabani Idi) and some local people.  The clinic is completed and the doctor's house nearby is nearing completion.  The DMO has confirmed that the house will be completed and a doctor posted to the village if solar is installed.  The house is close enough to the clinic to be supplied with solar power as well. Electricity also means that emergencies can be dealt with after dark and the fridge containing medicines can be powered.  We will have to accept the risk that the DMO will not fulfil his promises. The clinic serves a population of 2,596 in a remote area. Evelyn was unable to visit this remote place. Kevin Curley changed the project status to 03 on 17 December 2014.  On 14 January 2015 Asheri Stephen went to see Albert Mumwidra the DMO for Uvinza District. The DMO confirmed that if we fund solar power he will fund the completion of the doctor's house and will then post a doctor.  DMO email is mumwidralbert@yahoo com Phones +255 754 888175 and +255 783 888175  On 22 Jan 2015 I told the DMO we would send money for solar after he has completed the doctor's house.  Also told Asheri this.  In April 2015 Asheri Stephen, the Director of Inua Jamii ('The Uplifting of the Community'), with three of his members, made the arduous journey by boat and motor bike from Kigoma, carrying the solar panels, batteries and other equipment through the mountains to Lubalisi.  The solar power system is now installed in the village clinic and the doctor's house next door.  The promised arrival of a doctor is awaited.","Subject to confirmation from the DMO that the doctor's house will be completed and a doctor posted to the village, we should fund the project in the sum of £4,140.",NULL,3,NULL,"Health, Solar","The Applicants have been applying to TDT since 2011, originally for housing at the Health Centre (then TDT stopped funding this category). They arranged to meet Ron and Liz Fennell who were en route from Sumbawanga.",5,"This is very remote and might be difficult to verify whether this has already benefitted from the large Kigoma Solar project being funded by the US. Kevin Curley found no evidence in November 2013 that solar power has been provided to any health facility from any US funded project.",2017-09-08,"Inua Jamii is a well supported NGO based in Nkonkwa, by the lake.  Kevin Curley stayed with Asheri Lemdo (Gen Sec) in his family home for 3 days in Nov 2014.  Kevin met several members of Inua Jamii.  Asheri is popular and well connected. The only weakness is the risk that the DMO does not post a doctor to Lubalisi and the clinic continues to stand unused.",NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21197,NULL,NULL,"2017-09-08 20:29:50",NULL,NULL
15,322,"WOSOEDEO women's garment project","2013-10-18 00:00:00",4615,NULL,NULL,NULL,NULL,"Application for support with women's tailoring initiative
",17,"Rejected due to Kigoma, another copycat Tailoring project and dodgy Reference Letter",NULL,NULL,3,3,"Women, tailoring, sewing",NULL,NULL," ",2014-01-17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21198,NULL,NULL,NULL,NULL,NULL
16,330,"TAFE- Beekeeping Project for 50 households","2013-11-25 00:00:00",3367,3367,"2014-01-22 00:00:00",NULL,NULL,"Very well presented project from Tanzania Farmers Empowerment to set up 50 households, including at least 30 women in honey production- costs saved by equipment sharing and significant contribution by TAFE,",13,"Grant approved in memory of Ian Gibson at TDT Meeting of 22/1/2014. Project contract and temporary plaque sent. Project contract received back and filed. Bank details sent to RG. Grant is £2,967 + 400 for training from DAAT.  In September 2014 Kevin Curley received Victor's report accompanied by bank statement and receipts.  All uploaded here.  No further information is required.","With advice from Phil Grant, who keeps bees, I queried some aspects of the proposal including the types of beehives, the number of presses and the omission of 'smokers' from the budget.  They made some changes. I suggest we contribute £400 towards the cost of the training seminar from the David Anderson Africa Trust funds..  I sought advice from Linus Buriani (Diocese of Masasi) and Khassim Mwango (Bees Officer, Nanyumbu District) about the integrity of Victor William, TAFE Chairperson and received the reassurances I wanted. I recommend that we make a grant of £3367 (I am using Tsh 2500 to 1GBP).  This is £400 more than the amount requested because I had originally advised the applicants that a contribution towards the cost of the training seminar was not possible. This was before I learned of the David Anderson Africa Trust funds.","2014-11-30 00:00:00",8,9,"Bees, honey, women; Ian Gibson project","Tanzania Farmers Empowerment is a small NGO working in several villages in the far west of Mtwara region.  With our support they have trained 30 women and 20 men bee-keepers.  They have equipped them with hives, bee suits, gloves and the means of producing honey.  They are now awaiting the first harvest in September 2014.  The income from the sale of honey will make a real difference to the lives of 50 poor village farmers.",5,NULL,2014-01-23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21199,NULL,NULL,"2017-09-22 07:53:05",NULL,NULL
17,323,"Human Development & Relief Services- School Kitchens","2013-10-26 00:00:00",4316,NULL,NULL,NULL,NULL,"Fabrication and installation of clean cooking stoves at 4 schools- benefits environment, health, and school economy.",17,"Rejected as commercial organisation looking for funding to sell the stoves and very remote and difficult to verify/monitor",NULL,NULL,4,5,"Education, Health, Kitchens, Firewood, Ecology",NULL,NULL,NULL,2014-01-17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21200,NULL,NULL,NULL,NULL,NULL
18,295,"Mount Samba Secondary School girls'toilets",NULL,2800,2800,"2013-11-26 00:00:00",NULL,NULL,NULL,13,"09 as at 28 May 2014.  I have written today to Hamisi Ndosho the Head Teacher to check whether toilets have been completed.  I saw photos some weeks ago but no sign of the water tank. Kevin wrote again on 1st July 2014.  He was previously a great communicator so I fear he has moved on.  I suspect toilets completed but no water tank installed.  On 28 July 2014 Kevin heard from Hamisi who has now left the school and returned to his home town of Tanga where he is jobless. Hamisi could not send photos but said that a water tank has been installed.  Hamisi provided Kevin Curley with the phone number of the new Head in September 2014.  He is Shedrack Rububura on +255786997902.  Kevin has requested a photo of the water tank.  We already have photos of the girls' toilets.  On 19 Sept 2014 Kevin received a photograph of the water tank.
",NULL,"2014-06-01 00:00:00",3,NULL,NULL,"Mount Samba Secondary School is situated in a remote part of Kidondo District (Kigoma Region) close to the border with Burundi.  It is an unpopular posting for teachers and has never had Maths or Science teachers.  A block of toilets has been built for use by the girls.  Previously they had no choice but to go into the bush to relieve themselves. Although it is a simple project, it has given confidence to the Head Teacher, Hamisi Ndosho and motivated the students.",5,NULL,2017-09-08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21201,NULL,NULL,"2017-09-08 20:38:38",NULL,NULL
19,341,"YAAPA - Women's Tailoring Groups - follow-on from 276","2013-11-30 00:00:00",4920,1000,"2014-01-22 00:00:00",NULL,NULL,"To equip 10 groups of 6 vulnerable women/girls each with 4 sewing machines (1 zigzag and 3 ordinary) to start up their own businesses following completion of their training (via another TDT funded project). This is a follow-on project from No 276. Grant of £2,670 approved at TDT Meeting of 7th May 2013. This project aims to train women and girls in tailoring through the provision of short 6 week training courses in groups of 20 in 1 year. Last year TDT provided funds to purchase sewing machines - 4 x zig zag and 4 x straight and a button hole / over lock machines. The beneficiaries come from Kibirizi, Ujiji and surrounding Kigoma Urban areas and are mainly vulnerable and poorly educated girls who have also been the subject of violence, teenage pregnancy, disability, and other social and health challenges. ",11,"The two women's groups have been started and we are getting ongoing reports of their progress (see Documents)","I suggest that we offer a grant of £1,000 which will be sufficient to equip 2 groups of 6 women/girls. Should these groups prove successful, then we can reconsider further funding. I like the self sustaining nature of the project.
",NULL,3,3,"Tailoring, Self-Help","The project has funded two small groups of vulnerable women and girls to set up tailoring businesses and utilize the skills they have acquired through a previous training scheme, also funded by TDT. The project is managed very efficiently by YAAPA, who will provide each group with a cutting table, sewing machines  and chairs, while the families will provide start up materials and other bits and pieces. The groups are providing monthly activity reports to provide feedback and help us assess the impact of the project. The initial challenges include getting enough materials to be able to produce clothing for sale, but guidance from YAAPA should help in these early stages. The groups are expected to repay the project  a small amount on a monthly basis, which will be used to fund future similar groups. The funds were kindly provided by an anonymous donor.
[See photo of the women’s group]",2,NULL,2014-06-03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21202,NULL,NULL,NULL,NULL,NULL
20,304,"Kalya Health Centre Toilets (sponsored by WYADE)","2013-11-01 00:00:00",4173,NULL,NULL,NULL,NULL,"Construction of Public (VIP) Toilet and Rain Water Harvesting Tank at Kalya health Center in Kigoma rural, sponsored by World Youth Alliance for Development (WYADE) . A well researched application.  Budgets have been provided for basic toilets with/without a water scheme and VIP toilets similarly.                ",19,"Added to waiting list Nov 13.
JDM: This group had a previous proposal rejected, but not with any proven wrong-doing or fraud I think.
JP: Weak Yes - Seems good scheme. Needs on the ground visit? Evelyn or Kevin
JDM: Babu Choo generally in favour. Applicants did a lot of work revising application. If supported by LR or KC I’d be in favour.
Allocated to Kevin Curley 6 June 14   Kevin is now (1st July 2014) in touch with Mlolwa Kudoja and Janeth Ntalindi and will visit in November 2014.  On 30 October Kevin received pro forma invoices from Mlolwa and loaded these to the database.  Kevin also received information about boat travel to Kalya and agreed to meet Mlolwa in Kigoma on 17 November 2014. In November Kevin visited Kalya by boat with Mlolwa Kudoja (World Youth Alliance) and Asheri Lemdo (Inua Jamii).  We hired the boat from Utungane in Mgambo. We met the doctor in charge and the engineer responsible for the new health centre which was almost complete. The new building contains 2 toilets but the doctor wants to restrict use to inpatients and staff. So the request is for an outside toilet black for day patients and visitors. Nobody could explain to me why these toilets had not been specified for the new building funded by the Ministry of Health. Kalya has a population of 24,000.  The only access to the village is by boat. Evelyn was unable to visit this remote place.I changed the status to 03 on 17 December 2014.
","The need for toilets for visitors and day patients is clear. However given pressures on TDT funds this seems to me to be a low priority when compared to remote clinics lacking solar power.  I suggest we place the application on a waiting list for reconsideration should funds be sufficient.  If members do not favour this way of proceeding I recommend rejection. I wrote on 22 Jan 2015 to tell them that the grant had not been approved.  I said we would reconsider in the future if funds allowed.",NULL,3,4,"VIP Toilets, Health, Water Harvesting, Health Centre","A request for funding for a toilet block for use by day patients and visitors at a new health clinic in Kalya village.",5," ",2015-01-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21203,NULL,NULL,"2015-11-18 08:47:16",NULL,NULL
21,293,"Tailoring Mart and Garments Project (Upendo Women's Disabled Kigoma)","2013-10-31 00:00:00",4663,689,"2015-01-22 00:00:00",NULL,NULL,""To improve the existing  tailoring mart and garment project through acquiring improved equipment and tools and clothes-sheets to so as to produce quantity and quality clothes so as to meet the market and gain income while making high profits. The project also is used for training other people on tailoring so as to increase their knowledge and acquiring self-employments in the community."",13,"02 with Kevin Curley. The group has requested a grant so that they can purchase additional sewing machines for income generation activity and a small car ('bajaji') to bring disabled women to their centre. Evelyn has visited and recommends support. Evelyn has been out of action for some weeks owing to illness.  She has been in Dar but is now back in Kigoma.  At 27 May 2014 I am awaiting responses to my questions from Debora Yotham and will speak to Exavery Kehegwa, the Community Development Officer at Kigoma Council. I visited the group (unannounced) in November 2014 with Evelyn.  I met Deborah Yotham and Anton Kirugara (Mratibu).  I saw several disabled women working in a small room with one sewing machine. We were shown an empty small room which the group has rented.  This would accommodate 4 sewing machines.  They also requested £2,400 for the purchase of a bajaji to bring women to the centre. Evelyn supports the requests for equipment and a bajaji. I have changed the status to 03 on 17 December 2014.  The 4 sewing machines will enable the disabled women to increase their incomes from the sale of clothing they make.","I recommend that we award a grant of £689 so that 4 sewing machines can be bought.  The bajaji request falls outside our guidelines.",NULL,3,10,"Women, HIV, Disabled, Tailoring, Business","Upendo Women's Group in Kigoma town gives 12 disabled women an opportunity to supplement their incomes by making clothes for sale.  A small grant of £689 was awarded in 2014 so that the women could buy 6 more sewing machines.  A recent visit to the group's workshop showed that more women are now benefitting from the group.",5,NULL,2016-06-20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21425,NULL,NULL,"2016-06-20 16:29:33",NULL,NULL
22,221,"ARCHBISHOP KAHURANANGA Secondary School Science","2013-11-02 00:00:00",4582,NULL,NULL,NULL,NULL,"This is a private co-educational secondary school opened in 2002 by the Anglican Church, but open to pupils of all faiths.  Roll: 285 girls and 215 boys. "This project will support science equipment and essential repairs to 1 laboratory room" ",17,"Rejected because this is a private ACT school and should have more access to other funds than state schools. A previous application was rejected, but not through suspicion of fraud (hence the number). This application started as one by an NGO and that was also referred back because of TDT's Guidelines. No TDT Application form  filled in, but documents provided are fairly detailed.",NULL,NULL,3,10,"Secondary School, Private, Science, Laboratory",NULL,NULL," ",2014-01-17,x,x,x,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21426,NULL,NULL,NULL,NULL,NULL
23,325,"LIWODE (Light of Women in Development) Internet Café","2013-11-02 00:00:00",4582,NULL,NULL,NULL,NULL,"Establishment of an Internet Café and Stationery Shop to support the livelihoods of women including those living with HIV/AIDS",17,"Rejected as extremely poorly thought out application and Internet Cafes not a TDT priority.",NULL,NULL,3,3,"Internet Café, Stationery, Women, HIV/AIDS",NULL,NULL,NULL,2014-01-17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21427,NULL,NULL,NULL,NULL,NULL
24,326,"Construction of Public Toilets   at Mgambazi Health Centre","2013-11-04 00:00:00",3869,NULL,NULL,NULL,NULL,"Construction of 6 VIP latrines with water harvesting to benefit patients attending Health Centre and members of the public.",17,"Rejected as 200 Km south of Kigoma means it will be very difficult to verify.",NULL,NULL,3,11,"Health, Toilets, Lavatories, Health Centre",NULL,NULL," ",2014-01-17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21428,NULL,NULL,NULL,NULL,NULL
25,327,"Tanzania Agricultural Modernization Association (TAMA) Vocational Training","2013-11-05 00:00:00",3820,NULL,NULL,NULL,NULL,""The grant will be used to purchase tailoring machines, computers, printers and photocopiers which will be applied in developing vocational skills to vulnerable youth in the fields of tailoring and computer knowledge and applications." 
TAMA Website: http://www.envaya.org/TAMA-Bukoba",17,"Rejected on the basis of large funding from elsewhere, thus not in keeping with TDT objectives.",NULL,NULL,4,6,"Vocational Training; Computers; Tailoring; Youth",NULL,NULL,NULL,2014-01-17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21429,NULL,NULL,NULL,NULL,NULL
26,328,"JINAMA- Learning Facilities for Most Vulnerable Children","2013-11-14 00:00:00",3116,NULL,NULL,NULL,NULL,"Plan to distribute textbooks, exercise book and Maths sets to vulnerable children to support their school work.",17,"Rejected due to impracticality of giving out books to vulnerable kids with no control of there use.",NULL,NULL,2,2,"Children, textbooks, exercise books, most vulnerable, school",NULL,NULL," ",2014-01-17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21430,NULL,NULL,NULL,NULL,NULL
27,262,"KAYD Kasulu Youth Development","2013-07-27 00:00:00",3662,3662,"2013-09-17 00:00:00",3662,"2013-09-23 00:00:00","Accommodation is required for students attending the Vocational Training Centre at Makere.",13,"Construction nearing completion when Phil Grant visited on 27/11/2013.
Second tranche for solar lighting for girls dorm. will be released as soon as PO receives photos confirming dorm completion and water tank installed.","I would like to recommend both the new DAAT and the separate TDT application for the boys dorm + wood for beds, be considered by the  committee.    Please see supporting documents.","2013-12-31 00:00:00",3,12,"Vocational skills training.  Sewing, welding, construction and carpentry.","Kasulu Youth Development (KAYD)
Makere Vocational Training Centre (VTC), Makere, Kasulu District.
KAYD’s vision is to support disadvantaged youth in skills training, thus allowing them to be employed or set up their own small businesses, rather than possibly being tempted to move to urban centres, and away from their communities and families.

KAYD are now in the 2nd year of offering training courses in welding, woodwork, construction and tailoring.  Several students who completed the course last year have already established small businesses, providing them with income.
Although the VTC got off to a good start last year, enrolment of students was hindered due to lack of accommodation, and only attracted students who lived close to Makere.  

This year, TDT’s financial support has given KAYD the opportunity to build dormitories for both girls and boys, provide a rainwater catchment tank, buy materials to make beds, solar lighting and provide fire extinguishers.  Already, having these new facilities has seen enrolment nearly double.  They are attracting students from further afield who previously were unable to attend due to the high cost of accommodation.
Also due to the generosity of funding from David Anderson Africa Trust (DAAT), 4 trainers are having their salaries paid for 2014.  This is enabling KAYD to use its income to buy new tools and equipment, and to establish the VTC without the pressure of having to provide salaries.

KAYD was visited last year by both Kevin Curley and Phil Grant, and both were extremely impressed by the commitment, enthusiasm and dedication shown by its staff to support young people in this very rural area of Tanzania.  
KAYD report and update me regularly with their progress, and are constantly thanking TDT/DAAT for their continuing support as this quote from Chairman, Mr. Rulakizuye  displays. “Myself I have no another word which I can use and showing you that I am/ we are expressing our unique thanks for your continued support, but only just to say ''THANK YOU VERY MUCH, AND MAY GOD BLESS YOU ALL.”
",4,NULL,2014-03-25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21431,NULL,NULL,"2016-02-17 09:36:08",NULL,NULL
28,331,"HUMAN RIGHTS AND HIV/AIDS EDUCATION","2013-12-05 00:00:00",2569,NULL,NULL,NULL,NULL,"The applicants want to set up a travelling multi-media exhibition to provide Human Rights and HIV/AIDS Education to the youth in Maswa region.",17,"Rejected due to capacity building project and thus not one for TDT.",NULL,NULL,9,13,"Youth, HIV/AIDS, Human Rights, Albinos",NULL,10," ",2014-01-17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21432,NULL,NULL,"2016-01-31 13:47:30",NULL,NULL
29,332,"Burungura Secondary School Solar and ICT","2013-12-07 00:00:00",7798,NULL,NULL,NULL,NULL,"This Community School with 420 pupils (242 Girls, 198 Boys) is asking for a grant for the installation of 4 solar panels and 15 computers and peripherals. The application says the grant could be paid over 2 years. The cost would be much less if the computers were sourced from Computers4Africa.",17,"Added to waiting list Dec 13: JDM: The cost would be much less if the computers were sourced from Computers4Africa. In previous Muleba district applications (Kibanga and Bulyakashaju ) Muleba District has offered to provide the computers, or so we were told. Interesting that the quotation doesn't include batteries for the solar set-up and the provider is in Biharamulo and not Bukoba.
JP: Weak possibility -  if computers sourced cheaply. Do we want to support more Kagera schools?
DC: All looks genuine, but unsure about role of Radical Society Organisation (Bw Fabian).
JDM: Suggest saying, No, we are only aiding one more Kagera school in 2014 and not this one. He can apply again next year.
Rejected 2 June 14",NULL,NULL,4,7,"Community Secondary School; Solar Power; IT; Computers",NULL,NULL," ",2014-06-02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21433,NULL,NULL,NULL,NULL,NULL
30,333,"Miswaki Secondary School Solar Power","2013-12-09 00:00:00",2137,2200,"2014-05-13 00:00:00",NULL,NULL,"Rural school with 390 pupils, set up in 2007. "When our school receive grant ,we will use it in buying the requested equipment that is solar power ,these solar will improve the learning and teaching process at our school ,but again will help those students staying at school for night preparation."",9,"04  Contract received and changed bank details confirmed (+JP 20th May 2014 for TJ ) Funds to be paid instruction sent to RG","Recommended for funding - total tsh 5732000 (GBP £2300)","2014-09-01 00:00:00",9,14,"Secondary School; Solar Power; Evening homework","The school has 390 pupils and our grant has enabled the installation of 6 solar panels 
to bring solar lighting to the classrooms. This will allow the pupils to study after dark and will be particularly important for those students studying for exams. The school will also have the option of using videos for teaching and teachers will be able to use their laptops as teaching aids.
When our representative visited the school in March 2014 he was able to meet the engineer (fundi) responsible for the installation and confirmed that each panel would have a charge controller so that the batteries are not overloaded and there will be an inverter to convert the electricity generated from d/c to a/c.
",9,NULL,2014-05-19,"I have asked the Local rep to check on the ability of the fundi who is installing the system. He advised me that the fundi is recommended by the local authority.",NULL,"The school is paying for the cost of transporting the materials to the school.
The school will fund any ongoing repair and maintenance costs from the school bugdget.",NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21434,NULL,NULL,"2016-01-11 09:53:36",NULL,NULL
